M	mode	exit_status	result
1	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m1_k4096_n1024/fp16/profile/result.json
1	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m1_k4096_n1024/fp8/profile/result.json
2	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m2_k4096_n1024/fp8/profile/result.json
2	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m2_k4096_n1024/fp16/profile/result.json
4	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m4_k4096_n1024/fp16/profile/result.json
4	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m4_k4096_n1024/fp8/profile/result.json
8	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m8_k4096_n1024/fp8/profile/result.json
8	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m8_k4096_n1024/fp16/profile/result.json
16	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m16_k4096_n1024/fp16/profile/result.json
16	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m16_k4096_n1024/fp8/profile/result.json
32	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m32_k4096_n1024/fp8/profile/result.json
32	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m32_k4096_n1024/fp16/profile/result.json
64	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m64_k4096_n1024/fp16/profile/result.json
64	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m64_k4096_n1024/fp8/profile/result.json
128	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m128_k4096_n1024/fp8/profile/result.json
128	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m128_k4096_n1024/fp16/profile/result.json
256	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m256_k4096_n1024/fp16/profile/result.json
256	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m256_k4096_n1024/fp8/profile/result.json
512	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m512_k4096_n1024/fp8/profile/result.json
512	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m512_k4096_n1024/fp16/profile/result.json
1024	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m1024_k4096_n1024/fp16/profile/result.json
1024	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m1024_k4096_n1024/fp8/profile/result.json
2048	fp8	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m2048_k4096_n1024/fp8/profile/result.json
2048	fp16	0	/home/adnan/codex-isolated/fp8_sendnn_kineto_current_20260729/runs/granite_kv_m_sweep_20260729_021824/m2048_k4096_n1024/fp16/profile/result.json
